"id","name","category","kind","condition","url","shipping_policy","phone","location","checked_at","sources"
"yamaha-catalog","Yamaha Motor OEM catalog","motorcycle","catalog","new","https://yamaha-motor.com/parts/motorcycle/697278/14148181","Yamaha lists UPS Ground, with weight/dimension surcharges and LTL for large items. No numeric rate verified; confirm checkout.","","","2026-09-19","https://yamaha-motor.com/parts/motorcycle/697278/14148181 | https://yamaha-motor.com/help/shipping-and-delivery"
"rocky-mountain","Rocky Mountain ATV/MC","motorcycle","retailer","new","https://www.rockymountainatvmc.com/oem-parts/yamaha/2021-yamaha-yzf-r1","Eligible standard parcels to the lower 48: $7 below $75; free over $75. Oversize exclusions. Confirm exactly $75 in checkout.","","","2026-09-19","https://www.rockymountainatvmc.com/oem-parts/yamaha/2021-yamaha-yzf-r1 | https://www.rockymountainatvmc.com/Free-Shipping-Offer"
"partzilla","Partzilla","motorcycle","retailer","new","https://www.partzilla.com/","Advertises free shipping from $149 with restrictions. Exact eligibility and lower-order cost need checkout verification.","","","2026-09-19","https://www.partzilla.com/catalog/yamaha/motorcycle/2021/yzfr1-yzfr1m1b-b3lb0 | https://www.partzilla.com/catalog/honda/motorcycle/2021/cbr650ra-cbr650r-abs/wire-harness"
"suncoast","Sun Coast Cycle Sports","motorcycle","retailer","used","https://suncoastcyclesports.com/","Published policy offers free shipping within the lower 48. Confirm item restrictions before purchase.","","","2026-09-19","https://suncoastcyclesports.com/ | https://suncoastcyclesports.com/international-non-continental-u-s-shipping/"
"gm-parts-direct","GMPartsDirect / Flow Automotive","car","retailer","new","https://www.gmpartsdirect.com/","ZIP and basket are required for shipping charges; special-order lead times vary.","","","2026-09-19","https://www.gmpartsdirect.com/oem-parts/gm-air-filter-84321605"
"dinos","Dino’s Corvette Salvage","car","retailer","used; new; rebuilt","https://www.corvettesalvage.com/c8-corvette-parts/","Checkout shipping may need adjustment for oversized/freight shipments; residential and lift-gate charges may apply.","","","2026-09-19","https://www.corvettesalvage.com/c8-corvette-parts/ | https://www.corvettesalvage.com/shipping-delivery/"
"jenson","Jenson USA","bicycle","retailer","new","https://www.jensonusa.com/","Eligible standard items: free from $50 to physical lower-48 addresses. Oversize surcharges apply; lower-order shipping needs checkout.","","","2026-09-19","https://www.jensonusa.com/customer-service/faqs"
"universal","Universal Cycles","bicycle","retailer","new","https://www.universalcycles.com/","Ground shipping to the lower 48 is $9.99 below $150 and free over $150 for eligible items. Exact threshold and oversize items need checkout.","","","2026-09-19","https://www.universalcycles.com/"
"pros-closet","The Pro’s Closet","bicycle","retailer","used; new","https://www.theproscloset.com/","Shipping and handling are shown when the order is placed. No flat component rate verified.","","","2026-09-19","https://www.theproscloset.com/collections/used-bike-components | https://theproscloset-taxvzqxext2.gorgias.help/en-US"
"recycled-cycling","Recycled Cycling","bicycle","retailer","new; used-unverified","https://www.recycledcycling.com/","Store requires a call to confirm both inventory and shipping before ordering.","630-251-0314","","2026-09-19","https://www.recycledcycling.com/"
"ajo","Ajo Bikes","bicycle","retailer","new; used-bikes","https://www.ajobikes.com/","Most apparel/accessories can ship; no rate published here. New bicycle purchases require store possession. Confirm used-item shipping individually.","","","2026-09-19","https://www.ajobikes.com/articles/shipping-return-policies-pg208.htm"
"madhouse","Madhouse Motors","motorcycle","service","","https://www.madhousemotors.com/repairs","","617-686-0740","24 Blue Hill Ave, Boston, MA","2026-09-19","https://www.madhousemotors.com/repairs"
"quirk","Quirk Chevrolet","car","service","","https://www.quirkchevy.com/service-2/","","781-519-4311","444 Quincy Avenue, Braintree, MA 02184","2026-09-19","https://www.quirkchevy.com/service-2/"
"nemo","NEMO mobile bicycle repair","bicycle","service","","https://get-nemo.com/cambridge","","857-847-6366","Mobile service across Cambridge, MA","2026-09-19","https://get-nemo.com/cambridge"
